baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2782.2270754858	5.82550536170924	0.143005402909746	40.7362606109775	0	0
ENSMUSG00000025608.9	4401.66125363482	8.31225967159647	0.197515150303155	42.0841624495055	0	0
ENSMUSG00000045545.8	4088.29991369424	9.12441746267349	0.238746283639433	38.2180502396999	0	0
ENSMUSG00000047586.4	2408.96259534038	7.42297350742865	0.196909576313127	37.6973717907176	0	0
ENSMUSG00000054889.10	6835.31220970675	4.65298418474985	0.114960453592854	40.4746505370355	0	0
ENSMUSG00000097767.8	4106.77478472907	6.59500100563578	0.151473331463843	43.5390239450172	0	0
ENSMUSG00000020758.15	6336.6997785448	4.25980196363076	0.114959254890936	37.054884947472	1.49834346814126e-300	4.3040986367692e-297
ENSMUSG00000030693.10	1240.47258286885	5.46809014835929	0.148310458255747	36.8692148393884	1.43960476888773e-297	3.61844658659931e-294
ENSMUSG00000053797.10	2357.50870210768	7.97906868143133	0.217483201025771	36.6882069226388	1.12610578012341e-294	2.51597055852462e-291
ENSMUSG00000024406.16	2300.57018640316	4.48193671780513	0.123010146446106	36.4355042839395	1.16719549106366e-290	2.34699669343081e-287
ENSMUSG00000037820.15	3906.53921548764	4.02388580052453	0.11065773530497	36.3633485669555	1.61676109582864e-289	2.95543928317475e-286
ENSMUSG00000047281.3	1063.70867166189	5.25834175447154	0.149575393573981	35.1551256448523	9.7061660468671e-271	1.6264298905867e-267
ENSMUSG00000056602.12	1176.49524798063	5.38981494124774	0.153491305875468	35.1147897954603	4.0089156860495e-270	6.20086743192949e-267
ENSMUSG00000027375.14	3835.54583751613	5.7619214043003	0.164622913027671	35.0007255875238	2.19335934784965e-268	3.15029069761148e-265
ENSMUSG00000037185.9	1422.68237661111	4.99081717240571	0.143862893176094	34.6914834132853	1.05892472627264e-263	1.41952389305935e-260
ENSMUSG00000026413.12	1670.21865443213	5.50791707458194	0.16236177283388	33.9237308046479	2.97699490078799e-252	3.74133834156531e-249
ENSMUSG00000031995.9	1272.07808221471	6.0094866585463	0.180166971258455	33.3550962008765	6.14502411659348e-244	7.26847911390951e-241
ENSMUSG00000019102.10	4252.13630625676	3.75656442541427	0.117391472146157	32.0003178828629	1.07936960201854e-224	1.20577577541049e-221
ENSMUSG00000034282.3	1267.19157259449	6.84027560410273	0.216715958396042	31.5633221232482	1.17716637516547e-218	1.24581376167512e-215
ENSMUSG00000074796.10	890.962769879138	4.27566835335244	0.135795337231249	31.4861205143687	1.3454496993447e-217	1.35271512772116e-214
ENSMUSG00000028435.8	1000.6021972942	6.25341499993212	0.200042776470957	31.2603889540597	1.61298626902922e-214	1.54447275703046e-211
ENSMUSG00000042793.13	993.597227174904	4.1910055525358	0.135020098553954	31.039864415897	1.56324569105139e-211	1.42880656162097e-208
ENSMUSG00000049382.10	5899.38446739536	10.8668041662635	0.354164985099225	30.6828868563022	9.62905908071181e-207	8.41830956499796e-204
ENSMUSG00000063450.14	2006.16776359561	3.45579756335766	0.113605436030167	30.4192975628385	3.05260533640998e-203	2.55757450435549e-200
ENSMUSG00000022871.13	1099.82125590813	6.65648426779508	0.221674398380199	30.0282049548111	4.20497178827464e-198	3.38214290874506e-195
ENSMUSG00000020788.15	2105.0108870081	8.81861654906266	0.298922385404518	29.5013588130204	2.76569917953826e-191	2.13894919623674e-188
ENSMUSG00000025432.11	1237.63492277875	6.45490617064203	0.218925477195028	29.4844905825726	4.55104808715943e-191	3.38935092357785e-188
ENSMUSG00000061126.5	1586.36323099601	8.12858070884827	0.27657487805207	29.3901628596865	7.33549920171385e-190	5.26793635528793e-187
ENSMUSG00000003153.10	1022.21741914036	4.7530028026412	0.16922538070823	28.0868199719762	1.41926281942409e-173	9.84087474930331e-171
ENSMUSG00000060716.7	840.09526112167	6.73484504639252	0.239860348295624	28.0781925576625	1.80890819217995e-173	1.21245086427848e-170
ENSMUSG00000040703.11	1371.20076926963	7.27377160105659	0.261040189932383	27.864566000127	7.17498518802088e-171	4.65401942453948e-168
ENSMUSG00000048699.4	2458.70207239139	9.6029031333727	0.347621203557988	27.6246185074001	5.63342122592587e-168	3.53990106284117e-165
ENSMUSG00000038295.14	631.285307702664	5.23884839535313	0.191086117288764	27.416164343516	1.75989920913131e-165	1.07236525143068e-162
ENSMUSG00000012350.15	1200.71726915426	7.68148622380638	0.282783443802471	27.1638470785865	1.73752560971981e-162	1.02759308706606e-159
ENSMUSG00000024421.16	651.443017440784	5.80222705007391	0.215267802941041	26.9535293750504	5.18601002542727e-160	2.97943684546547e-157
ENSMUSG00000048373.8	879.02880578014	7.22965245129159	0.279667587148822	25.8508771967357	2.37846664644987e-147	1.32850575907817e-144
